item_db[501,"name"] = "Poção Vermelha"
item_db[502,"name"] = "Poção Laranja"
item_db[503,"name"] = "Poção Amarela"
item_db[504,"name"] = "Poção Branca"
item_db[505,"name"] = "Poção Azul"
item_db[506,"name"] = "Poção Verde"
item_db[507,"name"] = "Erva Vermelha"
item_db[508,"name"] = "Erva Amarela"
item_db[509,"name"] = "Erva Branca"
item_db[510,"name"] = "Erva Azul"
item_db[511,"name"] = "Erva Verde"
item_db[512,"name"] = "Maçã"
item_db[513,"name"] = "Banana"
item_db[514,"name"] = "Uvas"
item_db[515,"name"] = "Cenoura"
item_db[516,"name"] = "Batata Doce"
item_db[517,"name"] = "Carne"
item_db[518,"name"] = "Mel"
item_db[519,"name"] = "Leite"
item_db[520,"name"] = "Folha de Hinalle"
item_db[521,"name"] = "Folha de Aloe"
item_db[522,"name"] = "Mastela"
item_db[523,"name"] = "Água Benta"
item_db[525,"name"] = "Panacéia"
item_db[526,"name"] = "Geléia Real"
item_db[528,"name"] = "Ração para Monstros"
item_db[529,"name"] = "Bala"
item_db[530,"name"] = "Bengala Doce"
item_db[531,"name"] = "Suco de Maçã"
item_db[532,"name"] = "Suco de Banana"
item_db[533,"name"] = "Suco de Uva"
item_db[534,"name"] = "Suco de Cenoura"
item_db[535,"name"] = "Abóbora"
item_db[536,"name"] = "Sorvete"
item_db[537,"name"] = "Ração para Bichinho"
item_db[538,"name"] = "Biscoito de Gengibre"
item_db[539,"name"] = "Pedaço de Bolo"
item_db[540,"name"] = "Ração para Falcão"
item_db[541,"name"] = "Ração para PecoPeco"
item_db[542,"name"] = "Biscoito de Festa"
item_db[543,"name"] = "Bolo-Arco-Íris de Festa"
item_db[544,"name"] = "Peixe Cru"
item_db[545,"name"] = "Poção Vermelha Compacta"
item_db[546,"name"] = "Poção Amarela Compacta"
item_db[547,"name"] = "Poção Branca Compacta"
item_db[548,"name"] = "Queijo"
item_db[549,"name"] = "Batata Doce Assada"
item_db[550,"name"] = "Bolinhos de Arroz"
item_db[551,"name"] = "Sushi"
item_db[552,"name"] = "Ketupat"
item_db[553,"name"] = "Pão de Carne"
item_db[554,"name"] = "Mochi"
item_db[555,"name"] = "Bolinho de Arroz"
item_db[556,"name"] = "Bolinho de Arroz no Palito"
item_db[557,"name"] = "Fatia de Bolo de Arroz"
item_db[558,"name"] = "Chocolate"
item_db[559,"name"] = "Chocolate Caseiro"
item_db[560,"name"] = "Chocolate Branco feito a mão"
item_db[561,"name"] = "Chocolate Branco"
item_db[562,"name"] = "Fondue Suíço"
item_db[563,"name"] = "Fondue Suíço"
item_db[564,"name"] = "Bolinho de Arroz"
item_db[566,"name"] = "Sopa Tailandesa"
item_db[567,"name"] = "Camarão"
item_db[568,"name"] = "Limão"
item_db[569,"name"] = "Poção de Aprendiz"
item_db[570,"name"] = "Doce da Sorte"
item_db[571,"name"] = "Bengala Doce da Sorte"
